lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
erie,,1993-04-20,20140004.0,238489,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-04-26,20140004.0,238490,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-05-03,20140004.0,238491,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-05-10,20140004.0,238492,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-05-17,20140004.0,238493,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-05-31,20140004.0,238494,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-06-07,20140004.0,238495,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-06-14,20140004.0,238496,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-06-21,20140004.0,238497,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-06-28,20140004.0,238498,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-07-05,20140004.0,238499,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-07-12,20140004.0,238500,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-07-19,20140004.0,238501,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-07-26,20140004.0,238502,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-08-03,20140004.0,238503,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-08-09,20140004.0,238504,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-08-16,20140004.0,238505,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-08-23,20140004.0,238506,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-08-30,20140004.0,238507,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-09-07,20140004.0,238508,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-09-13,20140004.0,238509,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-09-20,20140004.0,238510,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
